ID,NAME,GENERIC_NAME,COMPANY_NAME,SHORT_DESCRIPTION,PRICE,LONG_DESCRIPTION,IN_STOCK
282,nicotine,Nicotine polarilex,Meijer Distribution Inc,"Complete traumatic amp of r low leg, level unsp, sequela",191,"Complete traumatic amputation of right lower leg, level unspecified, sequela",false
283,Carvedilol,carvedilol,Mylan Institutional Inc.,"Unspecified ovarian cyst, left side",131,"Unspecified ovarian cyst, left side",true
284,Carvedilol,Carvedilol,Solco Healthcare US LLC,Other specified protozoal diseases,343,Other specified protozoal diseases,false
285,LUSTER NOW,SODIUM FLUORIDE,DENTOVATIONS INC,Unspecified fracture of unspecified ischium,186,Unspecified fracture of unspecified ischium,true
286,Buspirone hydrochloride,Buspirone hydrochloride,Zydus Pharmaceuticals (USA) Inc.,Benign neoplasm of unspecified breast,290,Benign neoplasm of unspecified breast,true
287,Albuterol Sulfate,Albuterol Sulfate,Lake Erie Medical DBA Quality Care Products LLC,Pain and oth cond assoc w fem gntl org and menstrual cycle,183,Pain and other conditions associated with female genital organs and menstrual cycle,false
288,Guiafenesin,Guiafenesin,Sunrise Pharmaceutical Inc,"Injury of femoral nrv at hip and thi lev, unsp leg, sequela",76,"Injury of femoral nerve at hip and thigh level, unspecified leg, sequela",true
289,DigiSan E Foam Hand Sanitizer,Antiseptic handwash,Ecolab Inc.,"Occup of 3-whl mv injured in nonclsn trnsp acc in traf, init",103,"Unspecified occupant of three-wheeled motor vehicle injured in noncollision transport accident in traffic accident, initial encounter",true
290,Kadian,morphine sulfate,Actavis Kadian LLC,"Asphyxiation due to hanging, assault, sequela",52,"Asphyxiation due to hanging, assault, sequela",true
291,Sertraline,Sertraline,Proficient Rx LP,Abnormal findings on antenatal screening of mother,405,Abnormal findings on antenatal screening of mother,false
292,BAROX S,"CAMPHOR (SYNTHETIC), METHYL SALICYLATE, MENTHOL",Dr.JangLab Inc.,"Poisoning by oth antidepressants, self-harm, sequela",182,"Poisoning by other antidepressants, intentional self-harm, sequela",true
293,DDF Ultra-Lite Oil-Free Moisturizing Dew,"Avobenzone, Homosalate, Octisalate, and Octocrylene",Procter & Gamble Manufacturing Company,"Displaced unsp fx left great toe, subs for fx w nonunion",2,"Displaced unspecified fracture of left great toe, subsequent encounter for fracture with nonunion",true
294,Losartan Potassium,Losartan Potassium,ReadyMeds,Toxic effect of venom of bees,565,Toxic effect of venom of bees,false
295,Carvedilol,Carvedilol,REMEDYREPACK INC.,"Bent bone of unsp ulna, 7thN",354,"Bent bone of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",false
296,HOUSE DUST,House Dust,"ALK-Abello, Inc.","Unsp fx third MC bone, left hand, subs for fx w nonunion",304,"Unspecified fracture of third metacarpal bone, left hand, subsequent encounter for fracture with nonunion",false
297,NITRO-DUR,nitroglycerin,Merck Sharp & Dohme Corp.,"Corrosion of second degree of lower limb, except ank/ft",435,"Corrosion of second degree of lower limb, except ankle and foot",false
298,FeRivaFA,"ferrous bisglycinate, ascorbic acid, folic acid, cyanocobalamin, biotin, cupric oxide and docusate sodium","Avion Pharmaceuticals, LLC","Bennett's fracture, unsp hand, init for clos fx",472,"Bennett's fracture, unspecified hand, initial encounter for closed fracture",false
299,Dermarest,Salicylic Acid,Insight Pharmaceuticals LLC,Burn of third degree of chin,143,Burn of third degree of chin,true
300,TopCare Daytime Severe Cold and Cough,"Acetaminophen, Dextromethorphan HBr and Phenylephrine HCL",TOPCARE (Topco Associates LLC),Unsp traumatic displ spondylolysis of third cervcal vertebra,551,Unspecified traumatic displaced spondylolisthesis of third cervical vertebra,false
301,Metformin Hydrochloride,metformin hydrochloride,Mylan Pharmaceuticals Inc.,"Age-rel osteopor w crnt path fx, r forearm, 7thP",595,"Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion",true
302,Dove Ultimate Sensitive Care Fragrance Free,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,"Pathological fracture in other disease, right ulna",155,"Pathological fracture in other disease, right ulna",false
303,Energise RxS,"Sarcolacticum Acidum, Viscum Album, Iodium, Colchicum Atumnale, Conium Maculatum, Fucus Vesiculosus, Galiu Aparine, Natrum Oxalaceticum",Deseret Biologicals,"Disp fx of med malleolus of l tibia, 7thM",462,"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type I or II with nonunion",true
304,HUMCO Isopropyl Rubbing Alcohol 70% Professional Pack,Isopropyl Alcohol,"Humco Holding Group, Inc.",Subluxation complex (vertebral) of lower extremity,246,Subluxation complex (vertebral) of lower extremity,false
305,Z-TUSS,"Chlorpheniramine Maleate, Codeine Phosphate","Magna Pharmaceuticals, Inc.",Tenonitis of right orbit,597,Tenonitis of right orbit,true
306,Kroger,Fluoride,Kroger Company,"Primary osteoarthritis, unspecified ankle and foot",39,"Primary osteoarthritis, unspecified ankle and foot",true
307,Adipex-P,Phentermine Hydrochloride,Teva Select Brands,"Milt op involving intentional restriction of air/airwy, milt",384,"Military operations involving intentional restriction of air and airway, military personnel",false
308,Ponderosa Pine,Ponderosa Pine,"Nelco Laboratories, Inc.","Smith's fx unsp radius, subs for opn fx type I/2 w nonunion",315,"Smith's fracture of unspecified radius, subsequent encounter for open fracture type I or II with nonunion",false
309,Bio-Scriptives Lidum Topical Analgesic,Lidocaine,"Bio-Scriptives, Inc.",Anaphylactic reaction due to serum,35,Anaphylactic reaction due to serum,true
310,Spooky Sugar Cookie Antibacterial Foaming Hand Wash,Benzalkonium Chloride,"SJ Creations, Inc.","Bariatric surgery status comp pregnancy, unsp trimester",128,"Bariatric surgery status complicating pregnancy, unspecified trimester",false
311,Moore Medical Sugar Free Menthol Cough Suppressant/Anesthetic Drops,Menthol,Moore Medical LLC,"Fracture of unspecified part of body of left mandible, 7thG",84,"Fracture of unspecified part of body of left mandible, subsequent encounter for fracture with delayed healing",true
312,Baby Teething Oral Pain Reliever,Benzocaine,Budpak Inc.,"Laceration of uterus, sequela",399,"Laceration of uterus, sequela",false
313,LASTACAFT,alcaftadine,"Allergan, Inc.","Other calcification of muscle, left thigh",132,"Other calcification of muscle, left thigh",false
314,Sluggish Mind,"Adrenalinum, Agnus Castus, Ailanthus glandulosus, Aletris farinosa, Anethum graveolens, Bromus ramosus, flos, Caladium seguinum, Carpinus betulus, flos, Clematis vitalba, flos, Clematis vitalba, flos, Conium maculatum, Helleborus niger, Conium maculatum, Helleborus niger, Hypericum perforatum, Lecithin, Mentha piperita, Natrum carbonicum, Olea europaea, flos, Oleander, Phosphoricum acidum, Plumbum metallicum, Tropaeolum majus, Xerophyllum asphodeloides, Zincum metallicum",King Bio Inc.,"Contracture of muscle, lower leg",129,"Contracture of muscle, lower leg",false
315,Melphalan Hydrochloride,Melphalan Hydrochloride,GeneraMedix Inc.,"Intra-abdominal and pelvic swelling, mass and lump",443,"Intra-abdominal and pelvic swelling, mass and lump",true
316,TRISPEC PSE Cough Suppressant Expectorant Nasal Decongestant GRAPE Flavor,"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PSEUDOEPHEDRINE HYDROCHLORIDE",Deliz Pharmaceutical Corp,Subluxation of L2/L3 lumbar vertebra,309,Subluxation of L2/L3 lumbar vertebra,false
317,MISSHA M VITA BB,TITANIUM DIOXIDE,"ABLE C&C CO., LTD.","Displaced fracture of third metatarsal bone, right foot",52,"Displaced fracture of third metatarsal bone, right foot",true
318,Triple Antibiotic,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",ProStat First Aid,"Occup of pk-up/van inj in nonclsn trnsp acc nontraf, sequela",447,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela",true
319,amcinonide,amcinonide,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,"Hypermetropia, unspecified eye",265,"Hypermetropia, unspecified eye",true
320,Sulfur Colloid,Sulfur Colloid,AnazaoHealth Corporation,Oth intraop and postproc comp and disorders of GU sys,542,Other intraoperative and postprocedural complications and disorders of genitourinary system,false
321,Coppertone water BABIES,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone","MSD Consumer Care, Inc.",Varicos vn unsp low extrm w ulc oth prt low extrm and inflam,409,Varicose veins of unspecified lower extremity with both ulcer of other part of lower extremity and inflammation,false
322,Topcare Stomach Relief,Bismuth subsalicylate,Topco Associates LLC,"Asphyx due to being trapped in bed linens, accidental, init",406,"Asphyxiation due to being trapped in bed linens, accidental, initial encounter",false
323,Etodolac,Etodolac,Apotex Corp.,"Burn of second degree of right toe(s) (nail), init encntr",423,"Burn of second degree of right toe(s) (nail), initial encounter",false
324,Etodolac,Etodolac,REMEDYREPACK INC.,"Burn 3rd deg mu sites of right lower limb, ex ank/ft, sqla",438,"Burn of third degree of multiple sites of right lower limb, except ankle and foot, sequela",true
325,Loratadine and Pseudoephedrine,loratadine and pseudoephedrine,Ohm Laboratories Inc.,"Corrosion of first degree of unspecified wrist, init encntr",108,"Corrosion of first degree of unspecified wrist, initial encounter",true
326,AFLURIA,"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZA A VIRUS A/TEXAS/50/2012 X-223 (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED), and INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 BX-51B ANTIGEN (PROPIOLACTONE INACTIVATED)",CSL Limited,"Fracture of other parts of neck, subsequent encounter",339,"Fracture of other parts of neck, subsequent encounter",true
327,GUAIFENESIN DM,GUAIFENESIN DEXTROMETHORPHAN,"PD-Rx Pharmaceuticals, Inc.","Open bite, right foot, subsequent encounter",19,"Open bite, right foot, subsequent encounter",false
328,Cefazolin,Cefazolin,Apotex Corp,"Burn of first degree of lower back, sequela",532,"Burn of first degree of lower back, sequela",true
329,Amoxicillin and Clavulanate Potassium,Amoxicillin and Clavulanate Potassium,NorthStar Rx LLC,"Adverse effect of analeptics and opioid receptor antag, init",250,"Adverse effect of analeptics and opioid receptor antagonists, initial encounter",true
330,Dry Idea A.Dry Antiperspirant Solid Powder Fresh,Aluminum Zirconium Pentachlorohydrex Gly,The Dial Corporation,Contusion of anus,327,Contusion of anus,true
331,Low Dose Aspirin 81 mg,Aspirin,Family Dollar (FAMILY WELLNESS),"Corrosion of second degree of upper back, initial encounter",567,"Corrosion of second degree of upper back, initial encounter",false
332,Desvenlafaxine,Desvenlafaxine,Sun Pharma Global FZE,"Displ artic fx head of l femr, 7thQ",497,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with malunion",false
333,CAREONE,TRICLOSAN,AMERICAN SALES COMPANY,"Other superficial injuries of left thumb, subs encntr",211,"Other superficial injuries of left thumb, subsequent encounter",false
334,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Lake Erie Medical DBA Quality Care Products LLC,Dislocation of carpometacarpal joint of unspecified thumb,501,Dislocation of carpometacarpal joint of unspecified thumb,true
335,Armour Thyroid,"THYROID, PORCINE","Forest Laboratories, Inc",Newborn affected by other maternal comp of pregnancy,44,Newborn affected by other maternal complications of pregnancy,false
336,Antibacterial Wet Wipes With Aloe,BENZALKONIUM CHLORIDE,"Greenbrier International, Inc.","Unsp disp fx of surgical neck of r humerus, init for opn fx",4,"Unspecified displaced fracture of surgical neck of right humerus, initial encounter for open fracture",false
337,Ropinirole Hydrochloride,Ropinirole Hydrochloride,Bryant Ranch Prepack,"Unspecified physeal fracture of right metatarsal, 7thK",248,"Unspecified physeal fracture of right  metatarsal, subsequent encounter for fracture with nonunion",false
338,Phenazopyridine Hydrochloride,Phenazopyridine,"Preferred Pharmaceuticals, Inc.","Underdosing of predominantly alpha-adrenocpt agonists, subs",415,"Underdosing of predominantly alpha-adrenoreceptor agonists, subsequent encounter",false
339,Non-Drowsy Suphedrine PE Congestion,Phenylephrine HCl,"Salado Sales, Inc.","Minimally displaced Zone III fracture of sacrum, sequela",373,"Minimally displaced Zone III fracture of sacrum, sequela",true
340,ALPROLIX,"Coagulation Factor IX (Recombinant), Fc Fusion Protein",Biogen Idec Inc.,"Adverse effect of antidiarrheal drugs, initial encounter",531,"Adverse effect of antidiarrheal drugs, initial encounter",false
341,Stay Awake,Caffeine,"Stephen L. LaFrance Pharmacy, Inc.","Nondisp spiral fx shaft of r tibia, 7thK",169,"Nondisplaced spiral fracture of shaft of right tibia, subsequent encounter for closed fracture with nonunion",true
342,Pepto-Bismol,Bismuth subsalicylate,Procter & Gamble Manufacturing Company,Acquired stenosis of ext ear canal sec to inflam and infct,16,Acquired stenosis of external ear canal secondary to inflammation and infection,false
343,Losartan Potassium,Losartan Potassium,REMEDYREPACK INC.,"Injury of musculocutaneous nerve, left arm",227,"Injury of musculocutaneous nerve, left arm",false
344,Baby Healing,Petrolatum,American Sales Company,Superficial foreign body of foot,434,Superficial foreign body of foot,false
345,Cultivated Rye,Cultivated Rye,"Nelco Laboratories, Inc.","Acute embolism and thombos unsp deep veins of low extrm, bi",353,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",true
346,Sulfamethoxazole and Trimethoprim,Sulfamethoxazole and Trimethoprim,Qualitest Pharmaceuticals,"Presence of artificial limb (complete) (partial), unsp",503,"Presence of artificial limb (complete) (partial), unspecified",true
347,Captopril,Captopril,State of Florida DOH Central Pharmacy,Other alveolar and parieto-alveolar conditions,117,Other alveolar and parieto-alveolar conditions,false
348,Systemic Detox,"Beta Vulgaris, Boldo, Chelidonium Majus, Sarsaparilla, Gelsemium Sempervirens, Veratrum Album, Ferrum Metallicum",Deseret Biologicals,Estrogen excess,537,Estrogen excess,false
349,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),Titanium dioxide,SHISEIDO AMERICAS CORPORATION,Early congenital syphilitic pharyngitis,4,Early congenital syphilitic pharyngitis,true
350,Severe Cold PE Multi-Symptom,"Acetaminophen, Diphenhydramine HCl and Phenylephrine HCl",SUPERVALU INC.,Bitten by other hoof stock,450,Bitten by other hoof stock,false
351,Healthy Accents Cold,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",DZA Brands LLC,"Injury of abducent nerve, unspecified side, init encntr",543,"Injury of abducent nerve, unspecified side, initial encounter",false
352,AVINZA,morphine sulfate,Lake Erie Medical DBA Quality Care Products LLC,"Driver of bus injured in collision w pedl cyc in traf, init",381,"Driver of bus injured in collision with pedal cycle in traffic accident, initial encounter",true
353,Metoprolol Tartrate,metoprolol tartrate,REMEDYREPACK INC.,"Other articular cartilage disorders, unspecified hand",544,"Other articular cartilage disorders, unspecified hand",true
354,PERFECTION LUMIERE VELVET,OCTINOXATE and TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,"Unspecified physeal fracture of right metatarsal, 7thP",432,"Unspecified physeal fracture of right  metatarsal, subsequent encounter for fracture with malunion",true
355,Clobetasol Propionate,Clobetasol Propionate,"Golden State Medical Supply, Inc.","Struck by shark, sequela",26,"Struck by shark, sequela",false
356,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,STAT RX USA LLC,"Unsp injury of unspecified tibial artery, unspecified leg",555,"Unspecified injury of unspecified tibial artery, unspecified leg",true
357,Clindamycin Phosphate,Clindamycin Phosphate,Rebel Distributors Corp,"Unspecified fracture of head of right femur, sequela",401,"Unspecified fracture of head of right femur, sequela",false
358,NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE,STAT RX USA LLC,Adhesions of prepuce and glans penis,544,Adhesions of prepuce and glans penis,true
359,Geodon,ziprasidone hydrochloride,Rebel Distributors Corp,Prosth/oth implnt/mtrls cardiovascular devices assoc w incdt,5,"Prosthetic and other implants, materials and accessory cardiovascular devices associated with adverse incidents",false
360,Night Time Sinus,"Acetaminophen, Doxylamine Succinate, Phenylephrine Hydrochloride",Freds Inc,Unsp contact dermatitis due to food in contact with skin,581,Unspecified contact dermatitis due to food in contact with skin,true
361,Methyldopa and Hydrochlorothiazide,methyldopa and hydrochlorothiazide,Mylan Pharmaceuticals Inc.,"Sltr-haris Type IV physl fx low end ulna, l arm, 7thK",442,"Salter-Harris Type IV physeal fracture of lower end of ulna, left arm, subsequent encounter for fracture with nonunion",false
362,Risperidone,risperidone,"Aphena Pharma Solutions - Tennessee, LLC",Insect bite (nonvenomous) of left ear,120,Insect bite (nonvenomous) of left ear,false
363,Moist SURE,Triclosan,DSHealthcare,"Adverse effect of coronary vasodilators, subs encntr",338,"Adverse effect of coronary vasodilators, subsequent encounter",false
364,Diclofenac Sodium,Diclofenac Sodium,"Preferred Pharmaceuticals, Inc.","Amyloidosis, unspecified",206,"Amyloidosis, unspecified",false
365,Constitutional Enhancer,"Aconitum napellus, Arsenicum album, Baryta carbonica, Cantharis, Gelsemium sempervirens, Graphites, Hydrastis canadensis, Kali iodatum, Lachesis mutus, Lycopodium clavatum, Mercurius vivus, Natrum muriaticum, Nux vomica, Phosphorus, Phytolacca decandra, Pulsatilla, Rhus toxicodendron, Sepia, Silicea and Sulphur",King Bio Inc.,Other specified complications of labor and delivery,146,Other specified complications of labor and delivery,true
366,Cimetidine,Cimetidine,Teva Pharmaceuticals USA Inc,"Contusion of right little finger w damage to nail, init",99,"Contusion of right little finger with damage to nail, initial encounter",true
367,Lymph Detox,"Belladonna, Calcarea iodata, Conium maculatum, Echinacea purpurea, Hepar sulphuris calcareum, Kali iodatum, Kali muriaticum, Mercurius vivus, Phytolacca decandra, Pulsatilla, Ricinus communis, Scrophularia nodosa, Solidago virgaurea, and sulphur iodatum",King Bio Inc.,"Inj r int carotid, intcr w LOC of 1-5 hrs 59 min, sequela",44,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",false
368,Divalproex Sodium,divalproex sodium,Mylan Pharmaceuticals Inc.,Unspecified benign mammary dysplasia,416,Unspecified benign mammary dysplasia,true
369,Femara,letrozole,Novartis Pharmaceuticals Corporation,"Maternal care for abnormality of vagina, third trimester",242,"Maternal care for abnormality of vagina, third trimester",false
370,PAXIL,PAROXETINE HYDROCHLORIDE,STAT RX USA LLC,Pulmonary paracoccidioidomycosis,407,Pulmonary paracoccidioidomycosis,true
371,Amoxicillin,Amoxicillin,"DAVA Pharmaceuticals, Inc.","Major laceration of liver, initial encounter",208,"Major laceration of liver, initial encounter",false
372,Chewable Adult Low Dose Aspirin,Aspirin,SUPERVALU INC.,"Unspecified injury of right lower leg, initial encounter",470,"Unspecified injury of right lower leg, initial encounter",false
373,ONDANSETRON,ONDANSETRON,Direct Rx,Contusion of left ring finger with damage to nail,550,Contusion of left ring finger with damage to nail,true
374,ELCURE AC-LEX Serum,AZELAIC ACID,"Elcure Co., Ltd.","Laceration without foreign body of left breast, init encntr",454,"Laceration without foreign body of left breast, initial encounter",false
375,Epinephrine,Epinephrine,"International Medication Systems, Limited","Underdosing of unsp agents aff the cardiovasc sys, sequela",440,"Underdosing of unspecified agents primarily affecting the cardiovascular system, sequela",true
376,Athletes Foot,tolnaftate,Meijer Distribution Inc,"Other disorders of continuity of bone, unsp tibia and fibula",423,"Other disorders of continuity of bone, unspecified tibia and fibula",false
377,Headache Relief to Go,aspirin and caffeine,Breakthrough Products Inc.,"Subluxation of unsp interphaln joint of l rng fngr, subs",195,"Subluxation of unspecified interphalangeal joint of left ring finger, subsequent encounter",false
378,Candida albicans,Candida albicans,"Nelco Laboratories, Inc.","Infection of nipple associated w pregnancy, unsp trimester",223,"Infection of nipple associated with pregnancy, unspecified trimester",false
379,Morphine Sulfate,Morphine Sulfate,American Health Packaging,"Foliclar lymphoma grade IIIb, nodes of head, face, and neck",232,"Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck",false
380,Oxycodone and Acetaminophen,Oxycodone and Acetaminophen,RedPharm Drug Inc.,Other specified endocrine disorders,285,Other specified endocrine disorders,false
381,Pleo Rec,bacillus firmus,Sanum Kehlbeck GmbH & Co. KG,"Poisoning by cardi-stim glycos/drug simlar act, assault",201,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, assault",true
382,Citalopram,Citalopram,"Preferred Pharmaceuticals, Inc","Obstructed labor due to brow presentation, fetus 3",337,"Obstructed labor due to brow presentation, fetus 3",false
383,Brightening Hand Broad Spectrum SPF 20,"avobenzone, octinoxate, octisalate, octocrylene",Jafra Cosmetics International Inc,"Burn of unsp deg mult right fingers (nail), inc thumb, subs",392,"Burn of unspecified degree of multiple right fingers (nail), including thumb, subsequent encounter",false
384,FENOFIBRATE,FENOFIBRATE,Unit Dose Services,"Asphyx due to being trapped in bed linens, acc, sequela",146,"Asphyxiation due to being trapped in bed linens, accidental, sequela",true
385,OXCARBAZEPINE,OXCARBAZEPINE,Golden State Medical Supply,"Prsn brd/alit from bus inj pick-up truck, pk-up/van, sequela",494,"Person boarding or alighting from bus injured in collision with car, pick-up truck or van, sequela",true
386,Clearasil Ultra Rapid Action,Salicylic Acid,Reckitt Benckiser LLC,"Oth unil sec osteoarth of 1st carpometacarp joint, unsp hand",129,"Other unilateral secondary osteoarthritis of first carpometacarpal joint, unspecified hand",true
387,ProBLEN Estrogen and Progesterone,"Agnus castus, Angelica sinesis, radix, Apis mellifica, Arnica montana, Cimicifuga racemosa, Estradiol, Estriol, Folliculinum, Galium aparine,","Liddell Laboratories, Inc.","Oth injury of posterior tibial artery, left leg, sequela",304,"Other specified injury of posterior tibial artery, left leg, sequela",true
388,zidovudine,zidovudine,Cipla Limited,Recurrent pterygium of left eye,398,Recurrent pterygium of left eye,true
389,Acetaminophen,Acetaminophen,Fred's Inc.,Health examination for newborn under 8 days old,494,Health examination for newborn under 8 days old,false
390,equate nicotine,Nicotine Polacrilex,Wal-Mart Stores Inc,"Sexual dysfunction, unspecified",302,"Sexual dysfunction, unspecified",false
391,ATOMY MINERAL PACT,"TITANIUM DIOXIDE, ZINC OXIDE","ATOMY CO., LTD.",Fracture of first cervical vertebra,253,Fracture of first cervical vertebra,false
392,SENSI CARE PROTECTIVE BARRIER,"PETROLATUM, ZINC OXIDE",ConvaTec Inc.,"Pasngr on bus inj in clsn w statnry object nontraf, sequela",416,"Passenger on bus injured in collision with fixed or stationary object in nontraffic accident, sequela",false
393,Lanacane Maximum Strength Anti Bacterial First Aid Spray,benzocaine and benzethonium chloride,Combe Incorporated,Unspecified injury of cervical spinal cord,131,Unspecified injury of cervical spinal cord,false
394,Oxytocin,Oxytocin,Cantrell Drug Company,"Disp fx of lateral malleolus of l fibula, 7thJ",571,"Displaced fracture of lateral malleolus of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",true
395,SYNTHROID,levothyroxine sodium tablets,Cardinal Health,"Legal intervnt w injury by mch gun, law enforc offl injured",419,"Legal intervention involving injury by machine gun, law enforcement official injured",true
396,Phentermine Hydrochloride,Phentermine Hydrochloride,Unit Dose Services,"Inj extn musc/fasc/tend r little finger at wrs/hnd lv, subs",497,"Other injury of extensor muscle, fascia and tendon of right little finger at wrist and hand level, subsequent encounter",false
397,OXYGEN,OXYGEN,"Sexton Weldilng Supply Co., Inc.","Drug-induced chronic gout, unsp ankle and foot, with tophus",145,"Drug-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",true
398,Optison,Human Albumin Microspheres and Perflutren,GE Healthcare Inc.,"Burn of 3rd deg mu sites of unsp ankle and foot, subs",481,"Burn of third degree of multiple sites of unspecified ankle and foot, subsequent encounter",false
399,Claritin,Loratadine,"MSD Consumer Care, Inc.",Deficiency of vitamin E,495,Deficiency of vitamin E,true
400,LE BLANC,"Ensulizole, Octinoxate, and Titanium dioxide",CHANEL PARFUMS BEAUTE,Perforation due to fb acc left in body following procedure,217,Perforation due to foreign body accidentally left in body following procedure,false
401,Lovastatin,lovastatin,"Lupin Pharmaceuticals, Inc.",Other specified type of carcinoma in situ of right breast,285,Other specified type of carcinoma in situ of right breast,false
402,Pioglitazone Hydrochloride and Metformin Hydrochloride,pioglitazone hydrochloride and metformin hydrochloride,Mylan Pharmaceuticals Inc.,Congenital malformations of anterior segment of eye,589,Congenital malformations of anterior segment of eye,true
403,LISINOPRIL AND HYDROCHLOROTHIAZIDE,LISINOPRIL AND HYDROCHLOROTHIAZIDE,"Preferred Pharmaceuticals, Inc","Chorioamnionitis, first trimester, not applicable or unsp",583,"Chorioamnionitis, first trimester, not applicable or unspecified",false
404,Amitriptyline Hydrochloride,Amitriptyline Hydrochloride,Contract Pharmacy Services-PA,"Helicopter collision injuring occupant, initial encounter",421,"Helicopter collision injuring occupant, initial encounter",false
405,DawMist Antiperspirant Deodorant,ALUMINUM CHLOROHYDRATE,Dukal Corporation,"Poisn by antivaric drugs, inc scler agents, assault, init",457,"Poisoning by antivaricose drugs, including sclerosing agents, assault, initial encounter",false
406,Budpak Oral Maximum Strength,Benzocaine,Budpak Inc.,"Displ seg fx shaft of l tibia, subs for clos fx w delay heal",136,"Displaced segmental fracture of shaft of left tibia, subsequent encounter for closed fracture with delayed healing",false
407,Entacapone,Entacapone,Wockhardt USA LLC.,"Poisn by unsp drugs aff the autonm nrv sys, slf-hrm, subs",190,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, subsequent encounter",true
408,ALLIUM CEPA,ALLIUM CEPA,HOMEOLAB USA INC,Nonrheumatic aortic (valve) stenosis with insufficiency,526,Nonrheumatic aortic (valve) stenosis with insufficiency,false
409,Hypothalmapath,Homeopathic Liquid,Energetix Corp,"Displacement of femoral arterial graft (bypass), subs encntr",359,"Displacement of femoral arterial graft (bypass), subsequent encounter",false
410,Sure for Men Invisible Solid Antiperspirant,Aluminum Zirconium Tricholorohydrex GLY,"Idelle Labs, Ltd","Laceration of adductor musc/fasc/tend left thigh, init",303,"Laceration of adductor muscle, fascia and tendon of left thigh, initial encounter",true
411,Gerbil Epithelium,Gerbil Epithelium,"Nelco Laboratories, Inc.",Unsp open wound of other finger without damage to nail,133,Unspecified open wound of other finger without damage to nail,false
412,Erythromycin,Erythromycin,VersaPharm Incorporated,"Oth secondary chronic gout, unsp ankle and foot, w/o tophus",553,"Other secondary chronic gout, unspecified ankle and foot, without tophus (tophi)",true
413,potassium chloride,potassium chloride,Zydus Pharmaceuticals (USA) Inc.,Other cataclysmic storms,512,Other cataclysmic storms,false
414,"Standardized Mite, Dermatophagoides pteronyssinus, Intradermal, 30 AU per mL","Standardized Mite, Dermatophagoides pteronyssinus, Intradermal, 30 AU per mL",Jubilant HollisterStier LLC,"Path fx in oth disease, unsp site, subs for fx w malunion",339,"Pathological fracture in other disease, unspecified site, subsequent encounter for fracture with malunion",true
415,Ibuprofen,Ibuprofen,CVS Pharmacy,Body mass index (BMI) pediatric,50,Body mass index (BMI) pediatric,true
416,Finasteride,finasteride,Mylan Pharmaceuticals Inc.,Unspecified open wound of unspecified ear,277,Unspecified open wound of unspecified ear,false
417,CANIS LUPUS FAMILIARIS SKIN,DOG EPITHELIA,"ALK-Abello, Inc.","Drown d/t thrown ovrbrd by motion of power wtrcrft, subs",174,"Drowning and submersion due to being thrown overboard by motion of other powered watercraft, subsequent encounter",false
418,Neutrogena MoistureShine SPF20,"Octinoxate, Octisalate, and Titanium Dioxide",Neutrogena Corporation,"Vomiting of pregnancy, unspecified",167,"Vomiting of pregnancy, unspecified",true
419,LIQUIDAMBAR STYRACIFLUA POLLEN,Sweetgum,"ALK-Abello, Inc.","Nondisp fx of prox phalanx of unsp fngr, 7thK",559,"Nondisplaced fracture of proximal phalanx of unspecified finger, subsequent encounter for fracture with nonunion",true
